,Date,Unreg_Inflow,Live_Storage,Scenario,Name
595,Oct-24,6000,71000,min,Taylor Park
596,Nov-24,4000,70000,min,Taylor Park
597,Dec-24,4000,70000,min,Taylor Park
598,Jan-25,4000,69000,min,Taylor Park
599,Feb-25,4000,69000,min,Taylor Park
600,Mar-25,4000,68000,min,Taylor Park
601,Apr-25,8000,72000,min,Taylor Park
602,May-25,23000,86000,min,Taylor Park
603,Jun-25,28000,99000,min,Taylor Park
604,Jul-25,9000,90000,min,Taylor Park
605,Aug-25,7000,79000,min,Taylor Park
606,Sep-25,6000,70000,min,Taylor Park
607,Oct-25,6000,70000,min,Taylor Park
608,Nov-25,5000,70000,min,Taylor Park
609,Dec-25,4000,69000,min,Taylor Park
610,Jan-26,5000,69000,min,Taylor Park
611,Feb-26,4000,68000,min,Taylor Park
612,Mar-26,5000,68000,min,Taylor Park
613,Apr-23,7000,61000,max,Taylor Park
614,May-23,39000,80000,max,Taylor Park
615,Jun-23,50000,102000,max,Taylor Park
616,Jul-23,22000,99000,max,Taylor Park
617,Aug-23,9000,87000,max,Taylor Park
618,Sep-23,6000,77000,max,Taylor Park
620,Oct-23,6000,77000,max,Taylor Park
621,Nov-23,5000,75000,max,Taylor Park
622,Dec-23,5000,74000,max,Taylor Park
623,Jan-24,5000,72000,max,Taylor Park
624,Feb-24,4000,71000,max,Taylor Park
625,Mar-24,5000,69000,max,Taylor Park
626,Apr-24,10000,64000,max,Taylor Park
627,May-24,36000,79000,max,Taylor Park
628,Jun-24,55000,102000,max,Taylor Park
629,Jul-24,23000,99000,max,Taylor Park
630,Aug-24,11000,87000,max,Taylor Park
631,Sep-24,8000,72000,max,Taylor Park
633,Oct-24,7000,70000,max,Taylor Park
634,Nov-24,5000,68000,max,Taylor Park
635,Dec-24,5000,68000,max,Taylor Park
636,Jan-25,5000,68000,max,Taylor Park
637,Feb-25,4000,67000,max,Taylor Park
638,Mar-25,5000,64000,max,Taylor Park
639,Apr-25,10000,64000,max,Taylor Park
640,May-25,30000,79000,max,Taylor Park
641,Jun-25,51000,102000,max,Taylor Park
642,Jul-25,24000,99000,max,Taylor Park
643,Aug-25,11000,87000,max,Taylor Park
644,Sep-25,8000,72000,max,Taylor Park
646,Oct-25,8000,70000,max,Taylor Park
647,Nov-25,5000,68000,max,Taylor Park
648,Dec-25,4000,67000,max,Taylor Park
649,Jan-26,5000,67000,max,Taylor Park
650,Feb-26,4000,67000,max,Taylor Park
651,Mar-26,5000,64000,max,Taylor Park
652,Apr-23,36000,36000,most,Vallecito
653,May-23,119000,91000,most,Vallecito
654,Jun-23,75000,124000,most,Vallecito
655,Jul-23,22000,108000,most,Vallecito
656,Aug-23,11000,81000,most,Vallecito
657,Sep-23,9000,57000,most,Vallecito
658,Oct-23,6000,54000,most,Vallecito
659,Nov-23,4000,57000,most,Vallecito
660,Dec-23,4000,61000,most,Vallecito
661,Jan-24,4000,64000,most,Vallecito
662,Feb-24,4000,67000,most,Vallecito
663,Mar-24,5000,70000,most,Vallecito
664,Apr-24,14000,83000,most,Vallecito
665,May-24,59000,110000,most,Vallecito
666,Jun-24,50000,117000,most,Vallecito
667,Jul-24,15000,90000,most,Vallecito
668,Aug-24,10000,62000,most,Vallecito
669,Sep-24,10000,42000,most,Vallecito
670,Oct-24,10000,36000,most,Vallecito
671,Nov-24,8000,43000,most,Vallecito
672,Dec-24,7000,50000,most,Vallecito
673,Jan-25,6000,55000,most,Vallecito
674,Feb-25,5000,59000,most,Vallecito
675,Mar-25,10000,67000,most,Vallecito
676,Apr-25,23000,89000,most,Vallecito
677,May-25,68000,119000,most,Vallecito
678,Jun-25,62000,118000,most,Vallecito
679,Jul-25,21000,97000,most,Vallecito
680,Aug-25,15000,74000,most,Vallecito
681,Sep-25,16000,60000,most,Vallecito
682,Oct-25,13000,55000,most,Vallecito
683,Nov-25,9000,63000,most,Vallecito
684,Dec-25,7000,68000,most,Vallecito
685,Jan-26,6000,73000,most,Vallecito
686,Feb-26,5000,76000,most,Vallecito
687,Mar-26,10000,85000,most,Vallecito
688,Apr-23,36000,36000,min,Vallecito
689,May-23,119000,91000,min,Vallecito
690,Jun-23,75000,124000,min,Vallecito
691,Jul-23,22000,108000,min,Vallecito
692,Aug-23,11000,81000,min,Vallecito
693,Sep-23,9000,57000,min,Vallecito
694,Oct-23,6000,54000,min,Vallecito
695,Nov-23,4000,57000,min,Vallecito
696,Dec-23,4000,61000,min,Vallecito
697,Jan-24,4000,64000,min,Vallecito
698,Feb-24,4000,67000,min,Vallecito
699,Mar-24,5000,70000,min,Vallecito
700,Apr-24,9000,78000,min,Vallecito
701,May-24,52000,98000,min,Vallecito
702,Jun-24,40000,95000,min,Vallecito
703,Jul-24,12000,65000,min,Vallecito
704,Aug-24,10000,37000,min,Vallecito
705,Sep-24,11000,18000,min,Vallecito
706,Oct-24,10000,14000,min,Vallecito
707,Nov-24,8000,22000,min,Vallecito
708,Dec-24,6000,27000,min,Vallecito
709,Jan-25,6000,33000,min,Vallecito
710,Feb-25,5000,37000,min,Vallecito
711,Mar-25,8000,45000,min,Vallecito
712,Apr-25,20000,64000,min,Vallecito
713,May-25,56000,89000,min,Vallecito
714,Jun-25,40000,85000,min,Vallecito
715,Jul-25,13000,56000,min,Vallecito
716,Aug-25,12000,30000,min,Vallecito
717,Sep-25,11000,13000,min,Vallecito
718,Oct-25,10000,11000,min,Vallecito
719,Nov-25,8000,19000,min,Vallecito
720,Dec-25,7000,25000,min,Vallecito
721,Jan-26,6000,31000,min,Vallecito
722,Feb-26,5000,35000,min,Vallecito
723,Mar-26,10000,45000,min,Vallecito
724,Apr-23,36000,36000,max,Vallecito
725,May-23,119000,91000,max,Vallecito
726,Jun-23,75000,124000,max,Vallecito
727,Jul-23,22000,108000,max,Vallecito
728,Aug-23,11000,81000,max,Vallecito
729,Sep-23,9000,57000,max,Vallecito
730,Oct-23,6000,54000,max,Vallecito
731,Nov-23,4000,57000,max,Vallecito
732,Dec-23,4000,61000,max,Vallecito
733,Jan-24,4000,64000,max,Vallecito
734,Feb-24,4000,67000,max,Vallecito
735,Mar-24,5000,70000,max,Vallecito
736,Apr-24,17000,86000,max,Vallecito
737,May-24,68000,120000,max,Vallecito
738,Jun-24,69000,123000,max,Vallecito
739,Jul-24,26000,107000,max,Vallecito
740,Aug-24,19000,88000,max,Vallecito
741,Sep-24,21000,78000,max,Vallecito
742,Oct-24,17000,75000,max,Vallecito
743,Nov-24,9000,78000,max,Vallecito
744,Dec-24,6000,81000,max,Vallecito
745,Jan-25,6000,86000,max,Vallecito
746,Feb-25,5000,89000,max,Vallecito
747,Mar-25,11000,98000,max,Vallecito
748,Apr-25,28000,102000,max,Vallecito
749,May-25,78000,120000,max,Vallecito
750,Jun-25,84000,123000,max,Vallecito
751,Jul-25,33000,112000,max,Vallecito
752,Aug-25,20000,92000,max,Vallecito
753,Sep-25,19000,78000,max,Vallecito
754,Oct-25,15000,75000,max,Vallecito
755,Nov-25,10000,78000,max,Vallecito
756,Dec-25,7000,81000,max,Vallecito
757,Jan-26,6000,86000,max,Vallecito
758,Feb-26,5000,89000,max,Vallecito
759,Mar-26,10000,97000,max,Vallecito
760,Apr-23,245000,1124000,most,Navajo
761,May-23,488000,1340000,most,Navajo
762,Jun-23,249000,1294000,most,Navajo
763,Jul-23,46000,1261000,most,Navajo
764,Aug-23,-3000,1196000,most,Navajo
765,Sep-23,1000,1147000,most,Navajo
766,Oct-23,12000,1122000,most,Navajo
767,Nov-23,12000,1109000,most,Navajo
768,Dec-23,14000,1098000,most,Navajo
769,Jan-24,14000,1088000,most,Navajo
770,Feb-24,18000,1079000,most,Navajo
771,Mar-24,31000,1075000,most,Navajo
772,Apr-24,75000,1082000,most,Navajo
773,May-24,195000,1167000,most,Navajo
774,Jun-24,135000,1208000,most,Navajo
775,Jul-24,15000,1150000,most,Navajo
776,Aug-24,15000,1110000,most,Navajo
777,Sep-24,28000,1101000,most,Navajo
778,Oct-24,33000,1108000,most,Navajo
779,Nov-24,29000,1101000,most,Navajo
780,Dec-24,24000,1092000,most,Navajo
781,Jan-25,22000,1086000,most,Navajo
782,Feb-25,29000,1090000,most,Navajo
783,Mar-25,92000,1135000,most,Navajo
784,Apr-25,147000,1199000,most,Navajo
785,May-25,251000,1324000,most,Navajo
786,Jun-25,187000,1411000,most,Navajo
787,Jul-25,33000,1373000,most,Navajo
788,Aug-25,24000,1335000,most,Navajo
789,Sep-25,31000,1320000,most,Navajo
790,Oct-25,35000,1325000,most,Navajo
791,Nov-25,30000,1325000,most,Navajo
792,Dec-25,24000,1321000,most,Navajo
793,Jan-26,22000,1316000,most,Navajo
794,Feb-26,29000,1320000,most,Navajo
795,Mar-26,92000,1365000,most,Navajo
796,Apr-23,245000,1124000,min,Navajo
797,May-23,488000,1340000,min,Navajo
798,Jun-23,249000,1294000,min,Navajo
799,Jul-23,46000,1261000,min,Navajo
800,Aug-23,-3000,1196000,min,Navajo
801,Sep-23,1000,1147000,min,Navajo
802,Oct-23,12000,1122000,min,Navajo
803,Nov-23,12000,1109000,min,Navajo
804,Dec-23,14000,1098000,min,Navajo
805,Jan-24,14000,1088000,min,Navajo
806,Feb-24,18000,1079000,min,Navajo
807,Mar-24,31000,1075000,min,Navajo
808,Apr-24,65000,1073000,min,Navajo
809,May-24,175000,1149000,min,Navajo
810,Jun-24,80000,1152000,min,Navajo
811,Jul-24,0,1067000,min,Navajo
812,Aug-24,6000,1007000,min,Navajo
813,Sep-24,11000,968000,min,Navajo
814,Oct-24,25000,963000,min,Navajo
815,Nov-24,29000,956000,min,Navajo
816,Dec-24,24000,948000,min,Navajo
817,Jan-25,24000,944000,min,Navajo
818,Feb-25,27000,945000,min,Navajo
819,Mar-25,74000,976000,min,Navajo
820,Apr-25,110000,1011000,min,Navajo
821,May-25,190000,1091000,min,Navajo
822,Jun-25,102000,1107000,min,Navajo
823,Jul-25,9000,1035000,min,Navajo
824,Aug-25,2000,968000,min,Navajo
825,Sep-25,13000,934000,min,Navajo
826,Oct-25,21000,923000,min,Navajo
827,Nov-25,24000,917000,min,Navajo
828,Dec-25,24000,912000,min,Navajo
829,Jan-26,22000,906000,min,Navajo
830,Feb-26,29000,910000,min,Navajo
831,Mar-26,92000,954000,min,Navajo
832,Apr-23,245000,1124000,max,Navajo
833,May-23,488000,1340000,max,Navajo
834,Jun-23,249000,1294000,max,Navajo
835,Jul-23,46000,1261000,max,Navajo
836,Aug-23,-3000,1196000,max,Navajo
837,Sep-23,1000,1147000,max,Navajo
838,Oct-23,12000,1122000,max,Navajo
839,Nov-23,12000,1109000,max,Navajo
840,Dec-23,14000,1098000,max,Navajo
841,Jan-24,14000,1088000,max,Navajo
842,Feb-24,18000,1079000,max,Navajo
843,Mar-24,31000,1075000,max,Navajo
844,Apr-24,95000,1088000,max,Navajo
845,May-24,250000,1200000,max,Navajo
846,Jun-24,215000,1316000,max,Navajo
847,Jul-24,55000,1313000,max,Navajo
848,Aug-24,37000,1303000,max,Navajo
849,Sep-24,45000,1310000,max,Navajo
850,Oct-24,47000,1328000,max,Navajo
851,Nov-24,31000,1337000,max,Navajo
852,Dec-24,23000,1337000,max,Navajo
853,Jan-25,21000,1334000,max,Navajo
854,Feb-25,31000,1343000,max,Navajo
855,Mar-25,102000,1395000,max,Navajo
856,Apr-25,185000,1466000,max,Navajo
857,May-25,307000,1365000,max,Navajo
858,Jun-25,272000,1247000,max,Navajo
859,Jul-25,71000,1193000,max,Navajo
860,Aug-25,48000,1186000,max,Navajo
861,Sep-25,48000,1196000,max,Navajo
862,Oct-25,48000,1212000,max,Navajo
863,Nov-25,35000,1222000,max,Navajo
864,Dec-25,24000,1220000,max,Navajo
865,Jan-26,22000,1215000,max,Navajo
866,Feb-26,29000,1220000,max,Navajo
867,Mar-26,92000,1275000,max,Navajo
