,Date,Unreg_Inflow,Live_Storage,Scenario,Name
118,Jan-24,27000,17000,most,Crystal
119,Feb-24,26000,10000,most,Crystal
120,Mar-24,38000,17000,most,Crystal
121,Apr-24,80000,17000,most,Crystal
122,May-24,240000,17000,most,Crystal
123,Jun-24,295000,17000,most,Crystal
124,Jul-24,95000,17000,most,Crystal
125,Aug-24,55000,17000,most,Crystal
126,Sep-24,36000,17000,most,Crystal
127,Oct-24,39000,17000,most,Crystal
128,Nov-24,35000,17000,most,Crystal
129,Dec-24,32000,17000,most,Crystal
130,Jan-25,31000,17000,most,Crystal
131,Feb-25,29000,17000,most,Crystal
132,Mar-25,46000,17000,most,Crystal
133,Apr-25,100000,17000,most,Crystal
134,May-25,251000,17000,most,Crystal
135,Jun-25,293000,17000,most,Crystal
136,Jul-25,98000,17000,most,Crystal
137,Aug-25,63000,17000,most,Crystal
138,Sep-25,42000,17000,most,Crystal
139,Oct-25,43000,17000,most,Crystal
140,Nov-25,37000,17000,most,Crystal
141,Dec-25,32000,17000,most,Crystal
142,Jan-26,31000,17000,most,Crystal
143,Feb-26,29000,17000,most,Crystal
144,Mar-26,46000,17000,most,Crystal
145,Apr-23,97000,17000,min,Crystal
146,May-23,406000,16000,min,Crystal
147,Jun-23,357000,18000,min,Crystal
148,Jul-23,128000,17000,min,Crystal
149,Aug-23,52000,17000,min,Crystal
150,Sep-23,29000,17000,min,Crystal
151,Oct-23,32000,15000,min,Crystal
152,Nov-23,31000,15000,min,Crystal
153,Dec-23,29000,16000,min,Crystal
154,Jan-24,27000,17000,min,Crystal
155,Feb-24,26000,10000,min,Crystal
156,Mar-24,38000,17000,min,Crystal
157,Apr-24,65000,17000,min,Crystal
158,May-24,196000,17000,min,Crystal
159,Jun-24,241000,17000,min,Crystal
160,Jul-24,78000,17000,min,Crystal
161,Aug-24,52000,17000,min,Crystal
162,Sep-24,54000,17000,min,Crystal
163,Oct-24,38000,17000,min,Crystal
164,Nov-24,35000,17000,min,Crystal
165,Dec-24,31000,17000,min,Crystal
166,Jan-25,30000,17000,min,Crystal
167,Feb-25,28000,17000,min,Crystal
168,Mar-25,42000,17000,min,Crystal
169,Apr-25,82000,17000,min,Crystal
170,May-25,195000,17000,min,Crystal
171,Jun-25,190000,17000,min,Crystal
172,Jul-25,57000,17000,min,Crystal
173,Aug-25,48000,17000,min,Crystal
174,Sep-25,34000,17000,min,Crystal
175,Oct-25,38000,17000,min,Crystal
176,Nov-25,35000,17000,min,Crystal
177,Dec-25,32000,17000,min,Crystal
178,Jan-26,31000,17000,min,Crystal
179,Feb-26,29000,17000,min,Crystal
180,Mar-26,46000,17000,min,Crystal
181,Apr-23,97000,17000,max,Crystal
182,May-23,406000,16000,max,Crystal
183,Jun-23,357000,18000,max,Crystal
184,Jul-23,128000,17000,max,Crystal
185,Aug-23,52000,17000,max,Crystal
186,Sep-23,29000,17000,max,Crystal
187,Oct-23,32000,15000,max,Crystal
188,Nov-23,31000,15000,max,Crystal
189,Dec-23,29000,16000,max,Crystal
190,Jan-24,27000,17000,max,Crystal
191,Feb-24,26000,10000,max,Crystal
192,Mar-24,38000,17000,max,Crystal
193,Apr-24,108000,17000,max,Crystal
194,May-24,323000,17000,max,Crystal
195,Jun-24,397000,17000,max,Crystal
196,Jul-24,128000,17000,max,Crystal
197,Aug-24,78000,17000,max,Crystal
198,Sep-24,50000,17000,max,Crystal
199,Oct-24,48000,17000,max,Crystal
200,Nov-24,38000,17000,max,Crystal
201,Dec-24,32000,17000,max,Crystal
202,Jan-25,30000,17000,max,Crystal
203,Feb-25,28000,17000,max,Crystal
204,Mar-25,50000,17000,max,Crystal
205,Apr-25,117000,17000,max,Crystal
206,May-25,308000,17000,max,Crystal
207,Jun-25,398000,17000,max,Crystal
208,Jul-25,163000,17000,max,Crystal
209,Aug-25,79000,17000,max,Crystal
210,Sep-25,49000,17000,max,Crystal
211,Oct-25,48000,17000,max,Crystal
212,Nov-25,39000,17000,max,Crystal
213,Dec-25,32000,17000,max,Crystal
214,Jan-26,31000,17000,max,Crystal
215,Feb-26,29000,17000,max,Crystal
216,Mar-26,46000,17000,max,Crystal
217,Apr-23,188000,2589000,most,Flaming Gorge
218,May-23,521000,2917000,most,Flaming Gorge
219,Jun-23,574000,3249000,most,Flaming Gorge
220,Jul-23,174000,3323000,most,Flaming Gorge
221,Aug-23,95000,3292000,most,Flaming Gorge
222,Sep-23,67000,3256000,most,Flaming Gorge
223,Oct-23,69000,3233000,most,Flaming Gorge
224,Nov-23,64000,3226000,most,Flaming Gorge
225,Dec-23,44000,3177000,most,Flaming Gorge
226,Jan-24,41000,3131000,most,Flaming Gorge
227,Feb-24,57000,3107000,most,Flaming Gorge
228,Mar-24,94000,3155000,most,Flaming Gorge
229,Apr-24,140000,3154000,most,Flaming Gorge
230,May-24,250000,3120000,most,Flaming Gorge
231,Jun-24,400000,3267000,most,Flaming Gorge
232,Jul-24,170000,3329000,most,Flaming Gorge
233,Aug-24,65000,3311000,most,Flaming Gorge
234,Sep-24,50000,3272000,most,Flaming Gorge
235,Oct-24,58000,3259000,most,Flaming Gorge
236,Nov-24,53000,3245000,most,Flaming Gorge
237,Dec-24,34000,3186000,most,Flaming Gorge
238,Jan-25,42000,3137000,most,Flaming Gorge
239,Feb-25,43000,3095000,most,Flaming Gorge
240,Mar-25,85000,3125000,most,Flaming Gorge
241,Apr-25,111000,3154000,most,Flaming Gorge
242,May-25,239000,3104000,most,Flaming Gorge
243,Jun-25,389000,3272000,most,Flaming Gorge
244,Jul-25,161000,3297000,most,Flaming Gorge
245,Aug-25,66000,3256000,most,Flaming Gorge
246,Sep-25,43000,3201000,most,Flaming Gorge
247,Oct-25,52000,3182000,most,Flaming Gorge
248,Nov-25,50000,3176000,most,Flaming Gorge
249,Dec-25,34000,3138000,most,Flaming Gorge
250,Jan-26,42000,3109000,most,Flaming Gorge
251,Feb-26,43000,3085000,most,Flaming Gorge
252,Mar-26,85000,3124000,most,Flaming Gorge
253,Apr-23,188000,2589000,min,Flaming Gorge
254,May-23,521000,2917000,min,Flaming Gorge
255,Jun-23,574000,3249000,min,Flaming Gorge
256,Jul-23,174000,3323000,min,Flaming Gorge
257,Aug-23,95000,3292000,min,Flaming Gorge
258,Sep-23,67000,3256000,min,Flaming Gorge
259,Oct-23,69000,3233000,min,Flaming Gorge
260,Nov-23,64000,3226000,min,Flaming Gorge
261,Dec-23,44000,3177000,min,Flaming Gorge
262,Jan-24,41000,3131000,min,Flaming Gorge
263,Feb-24,57000,3107000,min,Flaming Gorge
264,Mar-24,94000,3155000,min,Flaming Gorge
265,Apr-24,102000,3154000,min,Flaming Gorge
266,May-24,182000,3159000,min,Flaming Gorge
267,Jun-24,292000,3227000,min,Flaming Gorge
268,Jul-24,124000,3235000,min,Flaming Gorge
269,Aug-24,52000,3208000,min,Flaming Gorge
270,Sep-24,54000,3180000,min,Flaming Gorge
271,Oct-24,44000,3173000,min,Flaming Gorge
272,Nov-24,46000,3173000,min,Flaming Gorge
273,Dec-24,33000,3152000,min,Flaming Gorge
274,Jan-25,40000,3140000,min,Flaming Gorge
275,Feb-25,42000,3134000,min,Flaming Gorge
276,Mar-25,68000,3153000,min,Flaming Gorge
277,Apr-25,91000,3154000,min,Flaming Gorge
278,May-25,165000,3111000,min,Flaming Gorge
279,Jun-25,249000,3171000,min,Flaming Gorge
280,Jul-25,92000,3161000,min,Flaming Gorge
281,Aug-25,45000,3136000,min,Flaming Gorge
282,Sep-25,34000,3102000,min,Flaming Gorge
283,Oct-25,45000,3094000,min,Flaming Gorge
284,Nov-25,47000,3101000,min,Flaming Gorge
285,Dec-25,34000,3097000,min,Flaming Gorge
286,Jan-26,42000,3101000,min,Flaming Gorge
287,Feb-26,43000,3109000,min,Flaming Gorge
288,Mar-26,85000,3141000,min,Flaming Gorge
289,Apr-23,188000,2589000,max,Flaming Gorge
290,May-23,521000,2917000,max,Flaming Gorge
291,Jun-23,574000,3249000,max,Flaming Gorge
292,Jul-23,174000,3323000,max,Flaming Gorge
293,Aug-23,95000,3292000,max,Flaming Gorge
294,Sep-23,67000,3256000,max,Flaming Gorge
295,Oct-23,69000,3233000,max,Flaming Gorge
296,Nov-23,64000,3226000,max,Flaming Gorge
297,Dec-23,44000,3177000,max,Flaming Gorge
298,Jan-24,41000,3131000,max,Flaming Gorge
299,Feb-24,57000,3107000,max,Flaming Gorge
300,Mar-24,94000,3155000,max,Flaming Gorge
301,Apr-24,211000,3048000,max,Flaming Gorge
302,May-24,378000,3129000,max,Flaming Gorge
303,Jun-24,604000,3410000,max,Flaming Gorge
304,Jul-24,257000,3531000,max,Flaming Gorge
305,Aug-24,96000,3506000,max,Flaming Gorge
306,Sep-24,56000,3447000,max,Flaming Gorge
307,Oct-24,61000,3408000,max,Flaming Gorge
308,Nov-24,55000,3353000,max,Flaming Gorge
309,Dec-24,37000,3245000,max,Flaming Gorge
310,Jan-25,45000,3145000,max,Flaming Gorge
311,Feb-25,50000,3063000,max,Flaming Gorge
312,Mar-25,120000,3072000,max,Flaming Gorge
313,Apr-25,146000,3083000,max,Flaming Gorge
314,May-25,318000,3037000,max,Flaming Gorge
315,Jun-25,525000,3325000,max,Flaming Gorge
316,Jul-25,270000,3478000,max,Flaming Gorge
317,Aug-25,92000,3445000,max,Flaming Gorge
318,Sep-25,56000,3381000,max,Flaming Gorge
319,Oct-25,62000,3345000,max,Flaming Gorge
320,Nov-25,55000,3309000,max,Flaming Gorge
321,Dec-25,34000,3231000,max,Flaming Gorge
322,Jan-26,42000,3162000,max,Flaming Gorge
323,Feb-26,43000,3102000,max,Flaming Gorge
324,Mar-26,85000,3132000,max,Flaming Gorge
325,Apr-23,75000,126000,most,Fontenelle
326,May-23,323000,250000,most,Fontenelle
327,Jun-23,413000,299000,most,Fontenelle
328,Jul-23,141000,310000,most,Fontenelle
329,Aug-23,74000,308000,most,Fontenelle
330,Sep-23,50000,285000,most,Fontenelle
331,Oct-23,53000,269000,most,Fontenelle
332,Nov-23,45000,246000,most,Fontenelle
333,Dec-23,35000,208000,most,Fontenelle
334,Jan-24,29000,164000,most,Fontenelle
335,Feb-24,34000,127000,most,Fontenelle
336,Mar-24,50000,104000,most,Fontenelle
337,Apr-24,80000,130000,most,Fontenelle
338,May-24,160000,196000,most,Fontenelle
339,Jun-24,320000,290000,most,Fontenelle
340,Jul-24,150000,309000,most,Fontenelle
341,Aug-24,55000,272000,most,Fontenelle
342,Sep-24,45000,245000,most,Fontenelle
343,Oct-24,50000,233000,most,Fontenelle
344,Nov-24,44000,215000,most,Fontenelle
345,Dec-24,32000,181000,most,Fontenelle
346,Jan-25,31000,147000,most,Fontenelle
347,Feb-25,29000,117000,most,Fontenelle
348,Mar-25,51000,117000,most,Fontenelle
349,Apr-25,77000,141000,most,Fontenelle
350,May-25,166000,214000,most,Fontenelle
351,Jun-25,301000,273000,most,Fontenelle
352,Jul-25,146000,323000,most,Fontenelle
353,Aug-25,59000,311000,most,Fontenelle
354,Sep-25,39000,294000,most,Fontenelle
355,Oct-25,45000,283000,most,Fontenelle
356,Nov-25,42000,259000,most,Fontenelle
357,Dec-25,32000,216000,most,Fontenelle
358,Jan-26,31000,173000,most,Fontenelle
359,Feb-26,29000,134000,most,Fontenelle
360,Mar-26,51000,111000,most,Fontenelle
361,Apr-23,75000,126000,min,Fontenelle
362,May-23,323000,250000,min,Fontenelle
363,Jun-23,413000,299000,min,Fontenelle
364,Jul-23,141000,310000,min,Fontenelle
365,Aug-23,74000,308000,min,Fontenelle
366,Sep-23,50000,285000,min,Fontenelle
367,Oct-23,53000,269000,min,Fontenelle
368,Nov-23,45000,246000,min,Fontenelle
369,Dec-23,35000,208000,min,Fontenelle
370,Jan-24,29000,164000,min,Fontenelle
371,Feb-24,34000,127000,min,Fontenelle
372,Mar-24,50000,104000,min,Fontenelle
373,Apr-24,56000,119000,min,Fontenelle
374,May-24,113000,150000,min,Fontenelle
375,Jun-24,225000,284000,min,Fontenelle
376,Jul-24,106000,316000,min,Fontenelle
377,Aug-24,46000,295000,min,Fontenelle
378,Sep-24,48000,282000,min,Fontenelle
379,Oct-24,39000,259000,min,Fontenelle
380,Nov-24,39000,236000,min,Fontenelle
381,Dec-24,32000,2.00E+05,min,Fontenelle
382,Jan-25,29000,160000,min,Fontenelle
383,Feb-25,27000,126000,min,Fontenelle
384,Mar-25,43000,102000,min,Fontenelle
385,Apr-25,65000,120000,min,Fontenelle
386,May-25,116000,174000,min,Fontenelle
387,Jun-25,201000,283000,min,Fontenelle
388,Jul-25,90000,303000,min,Fontenelle
389,Aug-25,42000,285000,min,Fontenelle
390,Sep-25,32000,268000,min,Fontenelle
391,Oct-25,40000,257000,min,Fontenelle
392,Nov-25,39000,237000,min,Fontenelle
393,Dec-25,32000,199000,min,Fontenelle
394,Jan-26,31000,160000,min,Fontenelle
395,Feb-26,29000,126000,min,Fontenelle
396,Mar-26,51000,108000,min,Fontenelle
397,Apr-23,75000,126000,max,Fontenelle
398,May-23,323000,250000,max,Fontenelle
399,Jun-23,413000,299000,max,Fontenelle
400,Jul-23,141000,310000,max,Fontenelle
401,Aug-23,74000,308000,max,Fontenelle
402,Sep-23,50000,285000,max,Fontenelle
403,Oct-23,53000,269000,max,Fontenelle
404,Nov-23,45000,246000,max,Fontenelle
405,Dec-23,35000,208000,max,Fontenelle
406,Jan-24,29000,164000,max,Fontenelle
407,Feb-24,34000,127000,max,Fontenelle
408,Mar-24,50000,104000,max,Fontenelle
409,Apr-24,101000,151000,max,Fontenelle
410,May-24,203000,199000,max,Fontenelle
411,Jun-24,406000,291000,max,Fontenelle
412,Jul-24,190000,320000,max,Fontenelle
413,Aug-24,74000,301000,max,Fontenelle
414,Sep-24,46000,274000,max,Fontenelle
415,Oct-24,51000,250000,max,Fontenelle
416,Nov-24,45000,225000,max,Fontenelle
417,Dec-24,34000,188000,max,Fontenelle
418,Jan-25,33000,149000,max,Fontenelle
419,Feb-25,31000,116000,max,Fontenelle
420,Mar-25,64000,117000,max,Fontenelle
421,Apr-25,97000,144000,max,Fontenelle
422,May-25,224000,227000,max,Fontenelle
423,Jun-25,404000,297000,max,Fontenelle
424,Jul-25,223000,315000,max,Fontenelle
425,Aug-25,80000,302000,max,Fontenelle
426,Sep-25,46000,287000,max,Fontenelle
427,Oct-25,50000,274000,max,Fontenelle
428,Nov-25,45000,251000,max,Fontenelle
429,Dec-25,32000,209000,max,Fontenelle
430,Jan-26,31000,165000,max,Fontenelle
431,Feb-26,29000,127000,max,Fontenelle
432,Mar-26,51000,104000,max,Fontenelle
433,Apr-23,85000,110000,most,Morrow Point
434,May-23,364000,112000,most,Morrow Point
435,Jun-23,331000,112000,most,Morrow Point
436,Jul-23,121000,111000,most,Morrow Point
437,Aug-23,49000,111000,most,Morrow Point
438,Sep-23,27000,109000,most,Morrow Point
439,Oct-23,31000,105000,most,Morrow Point
440,Nov-23,29000,106000,most,Morrow Point
441,Dec-23,26000,111000,most,Morrow Point
442,Jan-24,25000,111000,most,Morrow Point
443,Feb-24,25000,116000,most,Morrow Point
444,Mar-24,35000,107000,most,Morrow Point
445,Apr-24,70000,112000,most,Morrow Point
446,May-24,215000,112000,most,Morrow Point
447,Jun-24,270000,112000,most,Morrow Point
448,Jul-24,90000,112000,most,Morrow Point
449,Aug-24,50000,112000,most,Morrow Point
450,Sep-24,33000,112000,most,Morrow Point
451,Oct-24,35000,112000,most,Morrow Point
452,Nov-24,31000,112000,most,Morrow Point
453,Dec-24,27000,112000,most,Morrow Point
454,Jan-25,26000,112000,most,Morrow Point
455,Feb-25,25000,112000,most,Morrow Point
456,Mar-25,40000,112000,most,Morrow Point
457,Apr-25,89000,112000,most,Morrow Point
458,May-25,226000,112000,most,Morrow Point
459,Jun-25,265000,112000,most,Morrow Point
460,Jul-25,90000,112000,most,Morrow Point
461,Aug-25,56000,112000,most,Morrow Point
462,Sep-25,36000,112000,most,Morrow Point
463,Oct-25,37000,112000,most,Morrow Point
464,Nov-25,32000,112000,most,Morrow Point
465,Dec-25,27000,112000,most,Morrow Point
466,Jan-26,26000,112000,most,Morrow Point
467,Feb-26,25000,112000,most,Morrow Point
468,Mar-26,40000,112000,most,Morrow Point
469,Apr-23,85000,110000,min,Morrow Point
470,May-23,364000,112000,min,Morrow Point
471,Jun-23,331000,112000,min,Morrow Point
472,Jul-23,121000,111000,min,Morrow Point
473,Aug-23,49000,111000,min,Morrow Point
474,Sep-23,27000,109000,min,Morrow Point
475,Oct-23,31000,105000,min,Morrow Point
476,Nov-23,29000,106000,min,Morrow Point
477,Dec-23,26000,111000,min,Morrow Point
478,Jan-24,25000,111000,min,Morrow Point
479,Feb-24,25000,116000,min,Morrow Point
480,Mar-24,35000,107000,min,Morrow Point
481,Apr-24,58000,112000,min,Morrow Point
482,May-24,177000,112000,min,Morrow Point
483,Jun-24,222000,112000,min,Morrow Point
484,Jul-24,74000,112000,min,Morrow Point
485,Aug-24,47000,112000,min,Morrow Point
486,Sep-24,49000,112000,min,Morrow Point
487,Oct-24,33000,112000,min,Morrow Point
488,Nov-24,31000,112000,min,Morrow Point
489,Dec-24,27000,112000,min,Morrow Point
490,Jan-25,26000,112000,min,Morrow Point
491,Feb-25,25000,112000,min,Morrow Point
492,Mar-25,37000,112000,min,Morrow Point
493,Apr-25,72000,112000,min,Morrow Point
494,May-25,176000,112000,min,Morrow Point
495,Jun-25,173000,112000,min,Morrow Point
496,Jul-25,54000,112000,min,Morrow Point
497,Aug-25,43000,112000,min,Morrow Point
498,Sep-25,30000,112000,min,Morrow Point
499,Oct-25,33000,112000,min,Morrow Point
500,Nov-25,30000,112000,min,Morrow Point
501,Dec-25,27000,112000,min,Morrow Point
502,Jan-26,26000,112000,min,Morrow Point
503,Feb-26,25000,112000,min,Morrow Point
504,Mar-26,40000,112000,min,Morrow Point
505,Apr-23,85000,110000,max,Morrow Point
506,May-23,364000,112000,max,Morrow Point
507,Jun-23,331000,112000,max,Morrow Point
508,Jul-23,121000,111000,max,Morrow Point
509,Aug-23,49000,111000,max,Morrow Point
510,Sep-23,27000,109000,max,Morrow Point
511,Oct-23,31000,105000,max,Morrow Point
512,Nov-23,29000,106000,max,Morrow Point
513,Dec-23,26000,111000,max,Morrow Point
514,Jan-24,25000,111000,max,Morrow Point
515,Feb-24,25000,116000,max,Morrow Point
516,Mar-24,35000,107000,max,Morrow Point
517,Apr-24,94000,112000,max,Morrow Point
518,May-24,288000,112000,max,Morrow Point
519,Jun-24,362000,112000,max,Morrow Point
520,Jul-24,121000,112000,max,Morrow Point
521,Aug-24,71000,112000,max,Morrow Point
